Unnamed: 0_x,program_id,school_id,program_type,capacity,programno,r2_capacity,r1_assigned,r1_noenroll,r1_first_choice,Unnamed: 0_y
0,413-GE-KG,413,GE,66,1,64,65.0,21.0,50.0,0
2,420-GE-KG,420,GE,43,3,42,43.0,9.0,46.0,1
4,420-SE-KG,420,SE,18,5,18,18.0,3.0,86.0,2
5,420-SN-KG,420,SN,26,6,26,26.0,5.0,48.0,3
6,435-GE-KG,435,GE,66,7,64,66.0,19.0,54.0,4
8,456-GE-KG,456,GE,22,9,22,21.0,5.0,15.0,5
9,456-SB-KG,456,SB,22,10,22,18.0,2.0,16.0,6
11,618-SE-KG,618,SE,27,12,27,27.0,1.0,43.0,7
12,618-SN-KG,618,SN,39,13,39,39.0,4.0,50.0,8
13,449-FB-KG,449,FB,22,14,22,6.0,1.0,6.0,9
14,449-GE-KG,449,GE,45,15,44,45.0,6.0,38.0,10
15,625-GE-KG,625,GE,23,16,22,21.0,6.0,6.0,11
16,603-GE-KG,603,GE,22,17,22,22.0,6.0,11.0,12
18,603-SB-KG,603,SB,44,19,44,26.0,0.0,21.0,13
19,872-CB-KG,872,CB,22,20,22,22.0,0.0,25.0,14
20,872-GE-KG,872,GE,22,21,22,22.0,6.0,15.0,15
21,509-CE-KG,509,CE,27,22,27,27.0,4.0,54.0,16
22,509-CN-KG,509,CN,39,23,39,39.0,2.0,32.0,17
23,478-GE-KG,478,GE,45,24,44,45.0,6.0,92.0,18
24,478-JE-KG,478,JE,32,25,32,32.0,9.0,58.0,19
25,478-JN-KG,478,JN,10,26,10,10.0,1.0,12.0,20
27,481-GE-KG,481,GE,22,28,22,22.0,2.0,7.0,21
28,481-SB-KG,481,SB,44,29,44,16.0,2.0,15.0,22
29,525-GE-KG,525,GE,45,30,44,45.0,12.0,23.0,23
30,507-GE-KG,507,GE,45,31,44,45.0,10.0,29.0,24
31,521-GE-KG,521,GE,23,32,22,22.0,8.0,3.0,25
33,539-GE-KG,539,GE,66,34,64,65.0,19.0,30.0,26
35,680-GE-KG,680,GE,21,36,21,21.0,2.0,20.0,27
37,680-SE-KG,680,SE,21,38,21,21.0,2.0,19.0,28
38,680-SN-KG,680,SN,21,39,21,19.0,0.0,18.0,29
39,562-CE-KG,562,CE,11,40,11,11.0,3.0,9.0,30
40,562-CN-KG,562,CN,11,41,11,7.0,1.0,3.0,31
41,562-GE-KG,562,GE,22,42,21,22.0,3.0,10.0,32
43,575-GE-KG,575,GE,43,44,42,43.0,10.0,38.0,33
45,575-SB-KG,575,SB,22,46,22,7.0,1.0,3.0,34
46,589-GE-KG,589,GE,66,47,64,66.0,15.0,69.0,35
48,593-GE-KG,593,GE,22,49,22,21.0,2.0,12.0,36
49,593-SB-KG,593,SB,22,50,22,14.0,1.0,14.0,37
50,453-GE-KG,453,GE,23,51,22,21.0,4.0,18.0,38
51,453-SE-KG,453,SE,9,52,9,9.0,1.0,11.0,39
52,453-SN-KG,453,SN,13,53,13,3.0,0.0,3.0,40
53,614-CB-KG,614,CB,0,54,0,,,,41
54,614-GE-KG,614,GE,42,55,43,40.0,12.0,14.0,42
56,614-SB-KG,614,SB,22,57,22,11.0,1.0,11.0,43
58,537-SE-KG,537,SE,27,59,27,27.0,4.0,42.0,44
59,537-SN-KG,537,SN,39,60,39,39.0,3.0,32.0,45
60,644-GE-KG,644,GE,87,61,86,90.0,13.0,74.0,46
62,544-GE-KG,544,GE,87,63,86,87.0,17.0,82.0,47
64,838-GE-KG,838,GE,22,65,22,21.0,5.0,3.0,48
65,838-MN-KG,838,MN,26,66,26,32.0,6.0,23.0,49
66,838-ME-KG,838,ME,18,67,18,18.0,4.0,22.0,50
68,664-GE-KG,664,GE,85,69,86,83.0,16.0,64.0,51
70,670-GE-KG,670,GE,66,71,64,66.0,12.0,30.0,52
72,490-CB-KG,490,CB,66,73,66,66.0,1.0,61.0,53
73,490-GE-KG,490,GE,45,74,44,45.0,4.0,29.0,54
74,676-GE-KG,676,GE,66,75,64,66.0,4.0,135.0,55
76,476-NC-KG,476,NC,11,77,11,,,,56
77,479-GE-KG,479,GE,68,78,66,71.0,22.0,127.0,57
78,479-KN-KG,479,KN,13,79,13,11.0,2.0,9.0,58
79,479-KE-KG,479,KE,9,80,9,9.0,1.0,38.0,59
80,691-FB-KG,691,FB,11,81,11,5.0,1.0,4.0,60
81,691-GE-KG,691,GE,42,82,42,40.0,11.0,16.0,61
83,691-SB-KG,691,SB,22,84,22,22.0,1.0,23.0,62
84,830-GE-KG,830,GE,23,85,22,16.0,7.0,10.0,63
85,714-SE-KG,714,SE,18,86,18,18.0,1.0,22.0,64
86,714-SN-KG,714,SN,26,87,26,23.0,1.0,21.0,65
87,549-GE-KG,549,GE,45,88,44,45.0,6.0,33.0,66
89,718-GE-KG,718,GE,45,90,44,45.0,12.0,47.0,67
90,505-GE-KG,505,GE,23,91,22,23.0,8.0,16.0,68
91,722-GE-KG,722,GE,66,92,64,66.0,15.0,72.0,69
93,724-NS-KG,724,NS,15,94,15,2.0,0.0,2.0,70
94,729-CB-KG,729,CB,22,95,22,22.0,0.0,17.0,71
95,729-GE-KG,729,GE,23,96,22,23.0,3.0,24.0,72
96,729-SE-KG,729,SE,18,97,18,18.0,4.0,24.0,73
97,729-SN-KG,729,SN,26,98,26,20.0,4.0,16.0,74
98,723-CB-KG,723,CB,22,99,22,9.0,1.0,6.0,75
99,723-GE-KG,723,GE,22,100,22,22.0,7.0,8.0,76
100,723-SB-KG,723,SB,22,101,22,22.0,3.0,26.0,77
101,650-GE-KG,650,GE,22,102,22,22.0,7.0,12.0,78
102,650-SB-KG,650,SB,22,103,22,12.0,0.0,11.0,79
103,735-GE-KG,735,GE,45,104,44,45.0,12.0,50.0,80
104,746-GE-KG,746,GE,45,105,44,45.0,5.0,14.0,81
105,746-MN-KG,746,MN,13,106,13,13.0,2.0,50.0,82
106,746-ME-KG,746,ME,9,107,9,9.0,0.0,35.0,83
107,638-CB-KG,638,CB,22,108,22,13.0,1.0,8.0,84
108,638-GE-KG,638,GE,22,109,22,21.0,2.0,7.0,85
109,786-GE-KG,786,GE,20,110,20,20.0,2.0,18.0,86
110,786-JE-KG,786,JE,39,111,39,39.0,8.0,15.0,87
111,786-JN-KG,786,JN,5,112,5,5.0,1.0,3.0,88
113,569-GE-KG,569,GE,43,114,42,43.0,11.0,107.0,89
115,790-GE-KG,790,GE,45,116,44,44.0,10.0,24.0,90
116,760-GE-KG,760,GE,22,117,22,21.0,7.0,7.0,91
118,760-SE-KG,760,SE,18,119,18,18.0,5.0,6.0,92
119,760-SN-KG,760,SN,26,120,26,13.0,0.0,13.0,93
120,796-GE-KG,796,GE,67,121,66,67.0,24.0,65.0,94
121,816-GE-KG,816,GE,21,122,21,21.0,4.0,7.0,95
123,816-SB-KG,816,SB,21,124,21,13.0,1.0,12.0,96
124,656-GE-KG,656,GE,22,125,22,22.0,4.0,17.0,97
125,656-SB-KG,656,SB,22,126,22,14.0,0.0,13.0,98
126,493-GE-KG,493,GE,33,127,33,33.0,12.0,16.0,99
127,814-GE-KG,814,GE,29,128,28,29.0,9.0,41.0,100
128,820-GE-KG,820,GE,45,129,44,45.0,11.0,23.0,101
129,823-GE-KG,823,GE,65,130,64,65.0,27.0,54.0,102
131,488-GE-KG,488,GE,67,132,66,70.0,18.0,51.0,103
133,834-CB-KG,834,CB,11,134,11,3.0,0.0,3.0,104
134,834-GE-KG,834,GE,22,135,22,19.0,5.0,7.0,105
135,834-SB-KG,834,SB,22,136,22,14.0,3.0,14.0,106
136,782-GE-KG,782,GE,65,137,64,65.0,7.0,47.0,107
138,842-GE-KG,842,GE,65,139,64,65.0,14.0,57.0,108
140,750-GE-KG,750,GE,64,141,63,64.0,10.0,139.0,109
142,848-CB-KG,848,CB,22,143,22,22.0,1.0,11.0,110
143,848-GE-KG,848,GE,23,144,22,23.0,7.0,10.0,111
144,513-CB-KG,513,CB,44,145,44,28.0,0.0,23.0,112
145,513-GE-KG,513,GE,42,146,42,41.0,3.0,48.0,113
147,513-SB-KG,513,SB,22,148,22,20.0,1.0,18.0,114
148,859-GE-KG,859,GE,43,149,42,43.0,14.0,26.0,115
150,862-CB-KG,862,CB,22,151,22,22.0,0.0,53.0,116
151,862-GE-KG,862,GE,67,152,66,69.0,11.0,38.0,117
152,867-CB-KG,867,CB,11,153,11,8.0,0.0,6.0,118
153,867-GE-KG,867,GE,44,154,44,43.0,12.0,17.0,119
154,497-GE-KG,497,GE,22,155,22,22.0,9.0,21.0,120
155,497-SE-KG,497,SE,22,156,22,22.0,2.0,47.0,121
156,497-SN-KG,497,SN,22,157,22,18.0,3.0,11.0,122
157,876-CE-KG,876,CE,14,158,14,14.0,0.0,32.0,123
158,876-CN-KG,876,CN,19,159,19,19.0,0.0,21.0,124
159,876-GE-KG,876,GE,67,160,66,69.0,17.0,59.0,125
160,801-GE-KG,801,GE,43,161,42,43.0,18.0,35.0,126
162,485-CE-KG,485,CE,44,163,44,44.0,4.0,74.0,127
163,485-CT-KG,485,CT,22,164,22,25.0,0.0,80.0,128
